stimulus_id,source,sentence_id,doc_id,doc_id_type,text,epistemic_tag,epistemic_evidence,stem_term,token_count,negation_cues,domain
S041,PubMed_OA,PMID_38598439,38598439,PMID,"The implementation of the proposed circuit is demonstrated using IBM's quantum computers for the case of one qubit, and the fidelity of this implementation is reported.",UNCERTAIN,proposed,IBM,26,none,physics
S042,PubMed_OA,PMID_35924105,35924105,PMID,"General nuclear medicine, SPECT, PET, MRI, and CT may benefit from more advanced DL applications for classification, detection, localization, segmentation, quantification, and radiomic feature extraction utilizing 3D CNNs.",UNCERTAIN,may,SPECT,28,none,computer_science
S043,PubMed_OA,PMID_28412324,28412324,PMID,"Nanotechnology-based carriers might be the best tools for sequential combination therapy, as they can be loaded with multiple cargos and may provide targeted and sustained delivery to target tumor cells.",UNCERTAIN,"may, might",Nanotechnology-based,30,none,engineering
S044,PubMed_OA,PMID_37027874,37027874,PMID,"To demonstrate the physical potential of PPAs, we consider detection of ultralight axionlike dark matter (ALDM), through cosmic birefringence induced by its Chern-Simons coupling.",UNCERTAIN,potential,ALDM,24,none,physics
S045,PubMed_OA,PMID_35808353,35808353,PMID,"Based on this need, this paper proposes the Semi-ProtoPNet deep learning model to classify defective structures in the power distribution networks.",UNCERTAIN,proposes,Semi-ProtoPNet,21,none,computer_science
S046,PubMed_OA,PMID_28299691,28299691,PMID,"Meanwhile, since diamond has good biocompatibility, long-term durability, good chemical inertness, and a large electron-chemical potential window, it is a suitable candidate for the fabrication of biosensors.",UNCERTAIN,potential,electron-chemical,27,none,engineering
S047,PubMed_OA,PMID_26289577,26289577,PMID,"To obtain reliable results, the authors suggest fixing several keystone parameters according to the underlying chemistry of each studied system.",UNCERTAIN,suggest,parameters,20,none,physics
S048,PubMed_OA,PMID_31165259,31165259,PMID,"Throughout the training procedure, the higher learning rates are fairly used by the activation function which has been proposed by avoiding the risk of divergence.",UNCERTAIN,proposed,Throughout,25,none,computer_science
S049,PubMed_OA,PMID_28886766,28886766,PMID,"The article also introduces the latest cutting edge research topics on new materials for composite restorations, and an outlook for the future of how those may help to improve the service life of dental composite restorations.",UNCERTAIN,may,restorations,36,none,engineering
S050,PubMed_OA,PMID_37027874,37027874,PMID,"With the same data acquired for PTAs, we propose to develop pulsar polarization arrays (PPAs), to explore astrophysics and fundamental physics.",UNCERTAIN,propose,polarization,21,none,physics
S051,PubMed_OA,PMID_34691840,34691840,PMID,"In this paper, we will give a general introduction to the Ali CMB Polarization Telescope (AliCPT) project, which is a Sino-US joint project led by the Institute of High Energy Physics and involves many different institutes in China.",ASSERTIVE,N/A,CMB,38,none,physics
S052,PubMed_OA,PMID_39037874,39037874,PMID,Empirical mode decomposition (EMD) has shown promising results in extracting EEG components associated with motor imagery tasks more effectively than traditional linear decomposition algorithms such as Fourier and wavelet methods.,ASSERTIVE,N/A,EMD,30,none,computer_science
S053,PubMed_OA,PMID_28299691,28299691,PMID,"The fabrication is based on the combination of laser lithography, dry-etching, atomic layer deposition (ALD), sputtering deposition (SD), electrode evaporation, and lift-off techniques.",ASSERTIVE,N/A,ALD,23,none,engineering
S054,PubMed_OA,PMID_36617001,36617001,PMID,"Optical scanners are used frequently in medical imaging units to examine and diagnose cancers, assist with surgeries, and detect lesions and malignancies.",ASSERTIVE,N/A,malignancies,22,none,physics
S055,PubMed_OA,PMID_41103086,41103086,PMID,"The image patches from each slide were processed, augmented, and used to train and validate the five pre-trained DCNN models for BFOL classification.",ASSERTIVE,N/A,DCNN,23,none,computer_science
S056,PubMed_OA,PMID_36430726,36430726,PMID,"Incorporation of organic/inorganic fillers into the polymer matrix is one of the methods shown to be effective for controlling target PEM properties including thermal stability, mechanical properties, and physical stability, as well as proton conductivity.",ASSERTIVE,N/A,PEM,35,none,engineering
S057,PubMed_OA,PMID_41279482,41279482,PMID,"Together, these advances establish SP2T as a robust, data-efficient solution for unbiased particle tracking with millisecond-to-microsecond temporal resolution.",ASSERTIVE,N/A,SP2T,18,none,physics
S058,PubMed_OA,PMID_37756169,37756169,PMID,"Decoupled classification and regression features are reintegrated to provide shared offsets, avoiding inconsistency between feature-prediction pairs induced by zero or erroneous offsets.",ASSERTIVE,N/A,regression,22,none,computer_science
S059,PubMed_OA,PMID_29693379,29693379,PMID,"Therefore, it is critical to develop a new class of electronic materials that incorporate skinlike properties, including stretchability for conformable integration, minimal discomfort and suppressed invasive reactions; self-healing for long-term durability under harsh mechanical conditions; and biodegradability for reducing environmental impact and obviating the need for secondary device removal for medical implants.",ASSERTIVE,N/A,biodegradability,52,none,engineering
S060,PubMed_OA,PMID_32939066,32939066,PMID,"Array programming provides a powerful, compact and expressive syntax for accessing, manipulating and operating on data in vectors, matrices and higher-dimensional arrays.",ASSERTIVE,N/A,higher-dimensional,22,none,physics
